Transformation,C,Train Accuracy,Test Accuracy,Precision,Recall
No Transform,0.01,0.2484700122399021,0.21585903083700442,0.1420678809531588,0.21585903083700442
No Transform,0.1,0.3068135454916361,0.27851199216837985,0.2387291249489423,0.27851199216837985
No Transform,1.0,0.34802121583027334,0.29955947136563876,0.27616917236632804,0.29955947136563876
No Transform,5.0,0.34761321909424725,0.29858051884483605,0.2761494812239769,0.29858051884483605
No Transform,10.0,0.346797225622195,0.3020068526676456,0.27918574455734485,0.3020068526676456
No Transform,100.0,0.3484292125662995,0.3020068526676456,0.2788177792287832,0.3020068526676456
Poly Degree 2,0.01,0.3039575683394533,0.26186979931473325,0.2237670900279946,0.26186979931473325
Poly Degree 2,0.1,0.40065279477764176,0.3132648066568771,0.2894402585469725,0.3132648066568771
Poly Degree 2,1.0,0.474500203998368,0.3343122858541361,0.3143975599301812,0.3343122858541361
Poly Degree 2,5.0,0.5308037535699714,0.342143906020558,0.32652287079288395,0.342143906020558
Poly Degree 2,10.0,0.5630354957160343,0.3274596182085169,0.3142492400015419,0.3274596182085169
Poly Degree 2,100.0,0.6356589147286822,0.3308859520313265,0.31897937706420815,0.3308859520313265
Poly Degree 3,0.01,0.43370053039575684,0.30983847283406757,0.291813113598614,0.30983847283406757
Poly Degree 3,0.1,0.5589555283557731,0.3269701419481155,0.311856136181686,0.3269701419481155
Poly Degree 3,1.0,0.7144022847817217,0.3401860009789525,0.33510396399939024,0.3401860009789525
Poly Degree 3,5.0,0.8127294981640147,0.33822809593734704,0.33505040481679643,0.33822809593734704
Poly Degree 3,10.0,0.8527131782945736,0.33284385707293196,0.3292008415684351,0.33284385707293196
Poly Degree 3,100.0,0.9469604243166054,0.3166911404796867,0.31707450861039926,0.3166911404796867
Poly Degree 4,0.01,0.554875560995512,0.3191385217816936,0.29959635133129553,0.3191385217816936
Poly Degree 4,0.05,0.6658506731946144,0.3308859520313265,0.3213570725817714,0.3308859520313265
Poly Degree 4,0.1,0.7209302325581395,0.3387175721977484,0.3292983657159398,0.3387175721977484
Poly Degree 4,0.5,0.8494492044063647,0.3352912383749388,0.3326075537952412,0.3352912383749388
Poly Degree 4,1.0,0.8865769073847409,0.3303964757709251,0.32900651930858754,0.3303964757709251
Poly Degree 4,10.0,0.9759281925744594,0.3191385217816936,0.3160160945854162,0.3191385217816936
Log Transform,0.01,0.13423092615259077,0.13509544787077826,0.07871757699888877,0.13509544787077826
Log Transform,0.1,0.23745410036719705,0.21585903083700442,0.14738620885167877,0.21585903083700442
Log Transform,1.0,0.2896776825785394,0.25942241801272636,0.19426905636837333,0.25942241801272636
Log Transform,10.0,0.33741330069359443,0.2868330885952031,0.23386730954121396,0.2868330885952031
Log Transform,100.0,0.35822113423092616,0.3059226627508566,0.27907903933187034,0.3059226627508566
Log Transform,500.0,0.35658914728682173,0.302496328928047,0.2805207603695415,0.302496328928047
RBF Kernel,0.01,0.13423092615259077,0.13411649534997552,0.017987234324960005,0.13411649534997552
RBF Kernel,0.1,0.23786209710322317,0.20998531571218795,0.1264947965886652,0.20998531571218795
RBF Kernel,1.0,0.3594451244390045,0.28830151737640725,0.25751242687796344,0.28830151737640725
RBF Kernel,10.0,0.5059159526723787,0.3245227606461087,0.2982696276434899,0.3245227606461087
RBF Kernel,100.0,0.6670746634026927,0.33822809593734704,0.3228769526421735,0.33822809593734704
RBF Kernel,500.0,0.8033455732354141,0.3357807146353402,0.3255202111091587,0.3357807146353402
