Trail	Transformation	Accuracy	# of node in layer 1	# of node in layer 2	Regularization	train accuracy	train precision	train recall	train MSE	train R^2	Val_accuracy	Val_precision	val_recall	val_MSE	val_R^2
45	Polynomial with degree 2	0.3676	100	200	l1	0.3495	0.4436	0.3836	4.7158	0.6803	0.3647	0.4253	0.3647	5.0857	0.6547
46	Polynomial with degree 2	0.4229	100	200	l2	0.4083	0.4543	0.4458	3.3866	0.7704	0.4214	0.4231	0.4214	4.4606	0.6972
47	Polynomial with degree 2	0.3769	100	300	l1	0.3484	0.4398	0.3793	4.5586	0.691	0.3759	0.4386	0.3759	4.6662	0.6832
48	Polynomial with degree 2	0.4136	100	300	l2	0.4166	0.4601	0.4592	3.3159	0.7752	0.4136	0.4118	0.4136	4.1224	0.7201
49	Polynomial with degree 2	0.3705	200	100	l1	0.3464	0.4387	0.3787	4.5877	0.689	0.37	0.4325	0.37	4.9001	0.6673
50	Polynomial with degree 2	0.4121	200	100	l2	0.4047	0.4524	0.4421	3.4758	0.7644	0.4043	0.4005	0.4043	4.115	0.7206
51	Polynomial with degree 2	0.374	200	200	l1	0.3523	0.4419	0.3823	4.5922	0.6887	0.373	0.4344	0.373	5.095	0.6541
52	Polynomial with degree 2	0.4131	200	200	l2	0.4276	0.4666	0.4681	3.1767	0.784	0.4141	0.4015	0.4141	3.9608	0.7311
53	Polynomial with degree 2	0.37	200	300	l1	0.3478	0.4421	0.3836	4.5639	0.6906	0.3686	0.4269	0.3686	4.8169	0.673
54	Polynomial with degree 2	0.4146	200	300	l2	0.4324	0.4912	0.4806	3.2166	0.782	0.4146	0.4081	0.4146	4.1816	0.7161
55	Polynomial with degree 2	0.3632	400	100	l1	0.3437	0.4395	0.3793	4.7282	0.6795	0.3647	0.4231	0.3697	5.0563	0.6567
56	Polynomial with degree 2	0.4185	400	100	l2	0.4237	0.467	0.4618	3.224	0.7814	0.418	0.4045	0.418	4.1038	0.7214
57	Polynomial with degree 2	0.3661	400	200	l1	0.3417	0.4369	0.3786	4.6721	0.6833	0.3666	0.4266	0.3666	5.2168	0.6458
58	Polynomial with degree 2	0.4165	400	200	l2	0.4313	0.4743	0.4736	3.1592	0.7858	0.4165	0.415	0.4165	3.9506	0.7318
59	Polynomial with degree 2	0.371	400	300	l1	0.3442	0.4415	0.3809	4.6424	0.6853	0.3744	0.4357	0.3744	5.0494	0.6572
60	Polynomial with degree 2	0.4077	400	300	l2	0.4344	0.4869	0.4808	3.1199	0.7885	0.4087	0.3835	0.4087	4.2981	0.7082
61	Polynomial with degree 2	0.3769	600	100	l1	0.3406	0.4416	0.3805	4.6649	0.6838	0.373	0.435	0.373	4.9941	0.6609
62	Polynomial with degree 2	0.4156	600	100	l2	0.4285	0.4758	0.4708	3.2005	0.783	0.4112	0.4157	0.4112	4.1248	0.72
